"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.06841616309798e-11,1.39158937109646,0.218,0.127,3.58325412779802e-07,"Alpha cell","NEGR1"
1.12823924468247e-11,2.14903662326226,0.036,0.007,3.78388877881608e-07,"Alpha cell","CAV3"
1.14667061324722e-11,2.20876605770603,0.041,0.009,3.84570390270852e-07,"Alpha cell","Z99758.1"
1.16544864256144e-11,2.64812131442937,0.056,0.016,3.90868165742257e-07,"Alpha cell","LINC01515"
1.20005847591385e-11,2.17309844917039,0.041,0.009,4.02475611651986e-07,"Alpha cell","AC010343.3"
1.20817882532823e-11,2.71199305546534,0.029,0.004,4.05199014438582e-07,"Alpha cell","LINC00970"
1.2202108259941e-11,3.34220646645715,0.025,0.003,4.09234306821901e-07,"Alpha cell","LINC01833"
1.24756407729283e-11,1.61914475347719,0.076,0.026,4.18408040242469e-07,"Alpha cell","DGKG"
1.27325350010197e-11,3.12205502681669,0.025,0.003,4.270237588642e-07,"Alpha cell","RAB40A"
1.27653313362228e-11,6.38251857045665,0.014,0,4.28123682354241e-07,"Alpha cell","AL137027.1"
1.27653313362228e-11,6.41346881403172,0.014,0,4.28123682354241e-07,"Alpha cell","SULT6B1"
1.27653313362228e-11,6.7046622317742,0.014,0,4.28123682354241e-07,"Alpha cell","AC021393.1"
1.27653313362228e-11,6.27554807594312,0.014,0,4.28123682354241e-07,"Alpha cell","GLYAT"
1.27653313362228e-11,6.02862338282973,0.014,0,4.28123682354241e-07,"Alpha cell","AC087516.2"
1.27653313362228e-11,6.27575099746924,0.014,0,4.28123682354241e-07,"Alpha cell","CFAP97D1"
1.29946555595931e-11,1.8765812732575,0.082,0.03,4.35814758157634e-07,"Alpha cell","ADAM32"
1.30374583938913e-11,3.26480069507397,0.031,0.005,4.37250279614327e-07,"Alpha cell","NXPH1"
1.3106796806226e-11,2.66871524942412,0.031,0.005,4.39575751287206e-07,"Alpha cell","AC078864.2"
1.3725627216805e-11,2.19033226481899,0.037,0.007,4.60330085597207e-07,"Alpha cell","NPR3"
1.42840271947245e-11,1.89095082572776,0.061,0.018,4.7905770405667e-07,"Alpha cell","LINC02389"
1.4437558378105e-11,2.32557921506088,0.031,0.005,4.84206832884886e-07,"Alpha cell","IL5RA"
1.45161734160248e-11,1.14827060979767,0.141,0.067,4.86843424026638e-07,"Alpha cell","WDR78"
1.504963760473e-11,1.79104438635169,0.095,0.038,5.04734745987436e-07,"Alpha cell","SPRY4-AS1"
